system:index,bio04,bio12,elevation_ee,label,soil_ph,.geo
0_0,9396.0,1039.0,285,0,63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.32592421299906,37.3351435743879]}"
3_0,1777.0,1605.0,796,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-11.791585942724737,11.063913090312496]}"
5_0,312.0,2589.0,41,0,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.54747561584475,-1.9100054005836995]}"
6_0,7118.0,1746.0,475,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[120.74360528805914,27.869146267978444]}"
12_0,454.0,3101.0,161,0,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.12368891702587,-0.16053638476093113]}"
16_0,6263.0,1192.0,213,0,71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.07989423991748,45.26053016853238]}"
17_0,2147.0,1393.0,34,0,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[132.61933334411924,-13.091784899661448]}"
22_0,7128.0,190.0,5244,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.33139254165059,31.17943808995888]}"
24_0,13659.0,533.0,80,0,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37518915897897,58.71953891285311]}"
26_0,18174.0,449.0,542,0,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.93075180743239,59.37755485847066]}"
33_0,4308.0,1232.0,442,0,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.77468826295433,20.401900468734922]}"
35_0,2893.0,881.0,95,0,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.54347144542965,-17.224035206611234]}"
39_0,7099.0,334.0,1213,0,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2349829723845573,34.56159513466888]}"
40_0,12412.0,116.0,90,0,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.325538115349644,43.96695615940027]}"
43_0,6823.0,1092.0,679,0,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.699480588502126,43.55148534049499]}"
44_0,7013.0,1449.0,895,0,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.1957772996129,34.38866944247587]}"
46_0,887.0,1631.0,2361,0,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.27214908767323,11.257050876398196]}"
52_0,5139.0,387.0,1493,0,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.77907103656375,27.35261497960972]}"
55_0,5199.0,201.0,15,0,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.3341257358664,-26.047737084875237]}"
61_0,848.0,1546.0,1490,0,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.86341563339883,6.911450689470001]}"
64_0,8393.0,480.0,2013,0,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.92118188044958,39.596652302158795]}"
75_0,15537.0,391.0,415,0,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.68522228904646,59.27649438900721]}"
77_0,769.0,2015.0,728,0,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.03685121496261,1.121808683319685]}"
80_0,9852.0,789.0,447,0,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.54700875298457,38.11892365978218]}"
84_0,6160.0,0.0,620,0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.868287753233744,23.249559919393803]}"
89_0,5688.0,1945.0,63,0,50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.48297200416312,23.554987115994436]}"
92_0,10650.0,1194.0,461,0,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.06774488826062,39.5921607257382]}"
94_0,673.0,1595.0,166,0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.69237572914713,-12.564024670241224]}"
97_0,4613.0,106.0,278,0,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-10.152160549206627,18.203273810852394]}"
104_0,13179.0,500.0,97,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.65866086839227,58.75771731242819]}"
110_0,7461.0,179.0,4734,0,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.5251545741533,32.27313694837439]}"
112_0,12296.0,39.0,1187,0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.17780349947543,41.87388154740178]}"
113_0,10897.0,813.0,328,0,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.24757282309642,43.252795508525246]}"
115_0,222.0,3016.0,43,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.09320215094738,-1.4518646056827436]}"
128_0,9741.0,261.0,890,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.19079831718682,39.104824684103356]}"
130_0,13437.0,371.0,162,0,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.44742743066774,54.47499919538837]}"
136_0,4731.0,13.0,453,0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.76809523319005,23.983932664161514]}"
139_0,1759.0,1123.0,283,0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.793559990331914,9.988180537579368]}"
141_0,15338.0,401.0,787,0,71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[120.22258242326984,48.970572291946006]}"
145_0,8222.0,1536.0,165,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[134.36206499531113,34.999523835677145]}"
148_0,12448.0,953.0,769,0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30784355027038,52.30107620781913]}"
156_0,13604.0,341.0,211,0,68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.43845177228161,53.102822598895806]}"
164_0,12778.0,142.0,112,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.91555616824121,45.195402310433714]}"
168_0,4178.0,156.0,240,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-12.195827820578529,17.688988310693958]}"
172_0,5673.0,140.0,227,0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.45679668115832,29.881372504406173]}"
176_0,767.0,2442.0,57,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[122.73112785417362,11.47264654458688]}"
177_0,4645.0,270.0,300,0,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[122.40324277547,-31.821658573553464]}"
181_0,14178.0,289.0,1208,0,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62183782424245,47.71068510596837]}"
182_0,13594.0,410.0,368,0,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.93725296351562,56.2895960693098]}"
183_0,14372.0,464.0,1226,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49831947267603,56.705066888215086]}"
188_0,13159.0,377.0,367,0,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.52341867531376,53.327401419925685]}"
190_0,1037.0,1177.0,1081,0,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.539032330194658,-10.547306857392897]}"
193_0,8425.0,296.0,1962,0,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.46901736335093,35.98767064820862]}"
194_0,1002.0,1762.0,654,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.485785697164914,8.431849307842299]}"
196_0,535.0,1571.0,7,0,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.57846477683893,8.530663989095444]}"
210_0,1124.0,2106.0,41,0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.331673716928776,-0.43676833462768627]}"
213_0,5503.0,1099.0,1116,0,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.49933731119754,41.903076794135664]}"
218_0,4624.0,620.0,270,0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.48383245912783,-37.0004461865025]}"
220_0,260.0,3102.0,150,0,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.23157307056613,-2.1660252565577593]}"
224_0,4031.0,647.0,223,0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.28720039199777,-20.846491589823216]}"
225_0,6458.0,22.0,243,0,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.316727334975468,23.60214866841072]}"
227_0,9711.0,630.0,210,0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.833223091288716,54.77368902735811]}"
229_0,531.0,2435.0,170,0,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.33916273371318,-10.149802344170013]}"
236_0,3021.0,1273.0,1020,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.35920994959395,21.077882720034864]}"
240_0,7118.0,772.0,865,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.343770607400046,45.35709906157523]}"
241_0,9878.0,699.0,279,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[159.52163031528863,56.01111833123275]}"
242_0,2554.0,1331.0,348,0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.26375270897364,-15.11973165356126]}"
248_0,1797.0,654.0,450,0,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.842206244129926,13.188428737255165]}"
255_0,9084.0,363.0,2092,0,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.81198372419948,35.99665380104982]}"
268_0,10782.0,582.0,99,0,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.204524243906434,54.55135599453853]}"
274_0,1388.0,1785.0,85,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.58838720963564,-12.195715403752217]}"
276_0,3578.0,438.0,966,0,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.08201068217133,-19.395712405970187]}"
303_0,791.0,374.0,614,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.813132848897396,6.32305417837172]}"
310_0,1909.0,1095.0,1147,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.012764296611266,-10.183489167324495]}"
314_0,7504.0,197.0,2096,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.57694454340174,28.875259386192305]}"
320_0,13399.0,170.0,297,0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.9271581582519,47.33563847484847]}"
328_0,13398.0,313.0,1280,0,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.33799306586997,42.749738949418315]}"
333_0,11991.0,964.0,1140,0,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[135.8465310023186,45.93875820804262]}"
336_0,3721.0,234.0,360,0,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-10.574368732742784,16.467279524291413]}"
