system:index,bio04,bio12,dist_to_river_km,elevation,elevation_ee,soil_ph,.geo
00000000000000000000_0,605.0,2193.0,0.20530826615026362,0,214,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.172228308232675,-9.723102584213237]}"
00000000000000000001_0,520.0,2220.0,1.1595130457961407,0,201,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.42375658778613,-9.179621837320923]}"
00000000000000000002_0,527.0,2192.0,0.5527830166598984,0,323,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.699988537652885,-9.226783389737193]}"
00000000000000000003_0,502.0,2069.0,0.5483890168283005,0,108,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.32369341369892,-9.350301741303639]}"
00000000000000000004_0,579.0,2096.0,0.3127862075597772,0,230,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.771853760382456,-9.871324606092955]}"
00000000000000000005_0,552.0,2102.0,1.3048120154217129,0,250,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.756133242910366,-9.821917265466382]}"
00000000000000000006_0,579.0,2087.0,0.638897981125406,0,234,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.82126110100903,-9.812934112625186]}"
00000000000000000007_0,578.0,2070.0,0.3656950436691355,0,229,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.88638895910769,-9.871324606092955]}"
00000000000000000008_0,563.0,1977.0,0.3111970430064165,0,182,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.57584593966942,-10.050987662916867]}"
00000000000000000009_0,864.0,2330.0,0.746203615304533,0,294,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.5542635014413,-11.928466606726658]}"
0000000000000000000a_0,864.0,2330.0,0.6435719762017135,0,294,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.5542635014413,-11.930712394936961]}"
0000000000000000000b_0,593.0,2048.0,1.7741956398392784,0,259,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.93804208794457,-10.161031285221497]}"
0000000000000000000c_0,565.0,1953.0,0.717680761509878,0,239,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.54215911651494,-10.26882911931584]}"
0000000000000000000d_0,635.0,1806.0,2.0044913500489483,0,269,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.44109864705149,-10.753919372740384]}"
0000000000000000000e_0,542.0,2082.0,0.9075875299646203,0,206,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.2322403434937,-9.415429599402302]}"
